Dia;Bahia;Ceará;Distrito Federal;Minas Gerais;Paraná;Rio de Janeiro;Rio Grande do Sul;São Paulo;Santa Catarina;Amazonas;Pernambuco;Espírito Santo;Goiás;Rio Grande do Norte;Maranhão;Mato Grosso do Sul;Pará;Acre;Amapá;Mato Grosso;Paraíba;Roraima;Alagoas;Piauí;Rondônia;Sergipe;Tocantins;Centro-Oeste;Nordeste;Norte;Sudeste;Sul
22;127;1291;289;261;301;493;306;286;334;532;136;53;103;212;398;80;170;70;193;121;79;83;17;41;33;32;23;399;623;791;391;765
23;154;1425;312;275;395;558;334;396;357;636;176;60;115;242;445;85;217;72;230;123;85;113;18;44;35;36;23;435;720;951;553;833
24;176;1478;332;314;438;600;396;459;379;804;201;72;119;246;478;89;246;77;242;134;101;114;18;50;42;36;25;470;790;1222;642;978
25;213;1582;355;370;458;657;410;631;417;899;223;84;133;254;630;97;270;90;307;138;111;142;18;58;64;39;26;504;875;1360;926;1139
26;246;1676;370;397;503;708;418;745;457;981;352;96;158;261;695;100;323;99;334;151;136;164;22;75;69;42;26;532;1005;1505;1135;1213
27;267;1800;402;430;539;832;481;810;501;1050;401;120;179;261;797;101;384;101;362;156;151;201;23;91;76;42;26;594;1180;1663;1278;1318
28;282;2005;454;498;609;992;508;862;693;1206;555;139;191;263;1040;113;438;110;370;162;165;222;28;102;92;44;29;675;1399;1898;1404;1428
29;332;2157;468;525;643;1074;555;1052;732;1275;684;153;209;289;1205;115;557;135;393;171;195;244;31;123;110;44;31;708;1642;2028;1665;1551
30;401;2386;473;559;676;1246;618;1223;768;1484;816;166;229;302;1320;121;640;142;416;174;205;247;32;145;128;45;33;734;1880;2416;1952;1728
31;431;2684;492;614;738;1394;636;1406;777;1554;960;194;233;339;1396;131;685;163;433;181;236;280;37;158;160;46;33;783;2167;2582;2222;1972
32;456;3034;509;655;756;1461;640;1451;826;1719;1154;209;284;376;1604;143;902;176;457;181;245;297;37;186;199;48;34;842;2417;2876;2342;2048
33;497;3252;527;698;791;1688;653;1517;853;1809;1284;227;304;399;1757;161;1026;195;479;183;263;304;45;206;223;53;37;903;2825;3158;2507;2159
34;559;3482;555;750;803;1938;664;2339;884;1897;1484;273;318;400;1951;168;1195;214;548;221;301;345;48;217;250;71;37;955;3242;3416;3406;2197
35;604;3716;579;806;832;2216;700;2981;926;2044;1683;300;335;463;2105;171;1267;227;633;240;345;401;48;256;290;83;37;1009;3528;3691;4223;2317
36;635;3910;614;815;874;2464;747;3506;962;2160;2006;349;378;516;2223;173;1446;234;685;247;386;407;50;297;328;86;43;1067;3882;4109;4988;2403
37;673;4598;638;884;945;2607;780;4048;975;2270;2193;383;393;531;2410;175;1579;258;798;250;447;425;72;331;364;92;50;1118;4246;4431;5658;2496
